company,product,sales2,z_sales2,currentprice,z_currentprice,numberofstars2,averagerating2,numberofreviews2,z_numberofreviews2,freeshipping2,foreign,bestseller2,etsysince2,dayssincelastreview,z_dayssincelastreview,daysuntilship,z_daysuntilship,betabestseller2
1000jewels,"16mm Natural Green Malachite Teardrop Lever Back Earrings, Solid 925 Sterling Silver, Green Malachite Dangle Earrings, Silver Lever Backs",18235,.0979830520685789,32.990002,-.0317616775196371,5,4.8632,3932,.2448943705296902,1,0,0,2010,406,1.555689157206476,1.5,-.4977520000536101,5410.009065224322
1000jewels,"16mm Sleeping Beauty Turquoise Teardrop Leverback Earrings, Solid 925 Sterling Silver, Blue Turquoise Teardrop Earrings, Silver Lever Backs",18233,.0979134357524965,315.5,1.508530653863023,5,4.8632,3932,.2448943705296902,1,0,0,2010,0,-.8439623454401858,1.5,-.4977520000536101,5410.009065224322
1000jewels,"18mm Sleeping Beauty Turquoise Teardrop Lever Back Earrings, Solid 925 Sterling Silver, Blue Turquoise Teardrop Earrings, Silver Lever Backs",18231,.0978438194364142,378.98999,1.85468882758637,5,4.8632,3932,.2448943705296902,1,0,0,2010,0,-.8439623454401858,1.5,-.4977520000536101,5410.009065224322
1000jewels,"35mm Italian Sardinia Red Coral Teardrop Lever Back Earrings 925 Sterling Silver, Long Drop Dangle Earrings, Statement Earrings, Deep Red",18235,.0979830520685789,93.989998,.3008206271662914,5,4.8632,3932,.2448943705296902,1,0,0,2010,0,-.8439623454401858,1.5,-.4977520000536101,5410.009065224322
1000jewels,"35mm Long Sleeping Beauty Turquoise Teardrop Lever Back Earrings, Solid 925 Sterling Silver, Turquoise Teardrop Earrings, Slender Earrings",18235,.0979830520685789,429.98999,2.132749460368328,5,4.8632,3932,.2448943705296902,1,0,0,2010,178,.2081016138482524,1.5,-.4977520000536101,5410.009065224322
1000jewels,"Stunning 5.6cttw Swiss Blue Topaz Stud Earrings, Solid 925 Silver, Cushion Cut, December Birthstone, Statement Earrings, Birthstone Earring",18230,.097809011278373,36.5,-.0126245725323991,5,4.8632,3932,.2448943705296902,1,0,0,2010,25,-.6962005534052927,1.5,-.4977520000536101,5410.009065224322
10west,Aqua Chalcedony Drop Earrings / Aqua Chalcedony / Blue / Light Blue / Gold / Silver / Gemstone / Bridesmaid Jewelry,3159,-.4267847385603414,23,-.0862288576805647,5,4.963,790,-.4032946218182205,0,0,0,2009,7,-.8025890436704157,2,-.4080177754655682,5410.009065224322
11pixeli,The End Stud Earrings - Mismatch Earrings - Movie Film Earrings - Film Jewelry - Film Stud Earrings - Gift for Actor -  Gift for director,5006,-.3624940706582708,10.58,-.1539448004328445,5,4.9048,463,-.4707541382083436,1,1,0,2012,2,-.8321414020773943,4,-.0490808771134007,5410.009065224322
2010louisek7,"Blue Dangle Earrings, Blue Sapphire Earrings,September Birthstone, Blue Earrings, Gold Dangle earring, Gift for her, wife, mom, friend Gift,",3481,-.4155765116710795,35,-.0208028264377508,5,4.9756,583,-.4459983523771058,1,1,0,2010,35,-.6370958365913356,1.5,-.4977520000536101,5410.009065224322
2010louisek7,"Mothers Of the bride Blue Sapphir jewelry, Wedding jewelry, blue sapphire bridal earrings,something blue, blue earrings,bridesmaid gift",3481,-.4155765116710795,41,.0119101891836561,5,4.9756,583,-.4459983523771058,1,1,0,2010,433,1.715271892604161,1.5,-.4977520000536101,5410.009065224322
24jewels,"1.25 Inch 2 Pcs 925 Solid Sterling Safety Pin Earrings,Sterling Silver Safety Pin Earrings,Safety Pin Earrings,Silver Safety Pin Earrings",3854,-.4025930687217171,62.439999,.1288046908500684,5,4.9793,638,-.4346519505377884,1,1,0,2015,237,.5568194430505998,4,-.0490808771134007,5410.009065224322
24jewels,"1.25 Inch Gold Safety Pin Earrings,Cartilage Earrings,Gift For Her,9K,14K,18K",3854,-.4025930687217171,118.53,.4346168660494557,5,4.9793,638,-.4346519505377884,1,1,0,2015,104,-.2292732905750309,4,-.0490808771134007,5410.009065224322
256VinylDesigns,"Monogrammed Earring, Custom Earrings, Initial Earrings, Vinyl Monogram Earrings, Personalized Disc Earrings, Great gift",3664,-.4092066187495425,10.05,-.1568344486901825,5,4.8837,892,-.3822522038616684,0,0,0,2016,417,1.620704345701829,2,-.4080177754655682,5410.009065224322
2TrickPony,"1 1/2 inch sterling silver hoop earring,  endless style, raw silk texture or your choice, medium round loops, eco friendly jewelry",7683,-.2693126315820159,55,.0882405589669389,5,4.9833,2519,-.0466050076331354,0,0,0,2009,4,-.8203204587146029,10.5,1.117464042531144,5410.009065224322
2TrickPony,"2 inch hammered sterling silver hoop earrings, large endless style hoop, 925 silver hoop earring, eco friendly jewelry",7683,-.2693126315820159,59,.1100492360478768,5,4.9835,2521,-.0461924112026147,0,0,0,2009,31,-.6607377233169185,10.5,1.117464042531144,5410.009065224322
2TrickPony,"sterling silver hoop earrings,  round loops, planishing smooth or your choice of texture, finish, and size, endless style hoop, eco friendly",7683,-.2693126315820159,49,.055527543345532,5,4.9834,2520,-.0463987094178751,0,0,0,2009,7,-.8025890436704157,10.5,1.117464042531144,5410.009065224322
2sistershandcrafted,Sterling Silver Cube Earrings - Everyday Modern Geometric Squares,9327,-.2120880197623061,27,-.0644201805996267,4.5,4.6716,1308,-.2964321463133772,0,1,0,2011,468,1.922138401453011,4,-.0490808771134007,5410.009065224322
