company,product,sales2,z_sales2,currentprice,z_currentprice,numberofstars2,averagerating2,numberofreviews2,z_numberofreviews2,freeshipping2,foreign,bestseller2,etsysince2,dayssincelastreview,z_dayssincelastreview,daysuntilship,z_daysuntilship,betabestseller2,lqtbestseller,uqtnonbestseller
zendiaz,Dangle Long Stick Earrings - Handmade Hammered Gold - Silver Earrings,8529,-.2398649298791725,18.809999,-.1090734498346197,5,4.8871,1332,-.2914809891471296,0,1,0,2014,375,1.372464535083209,2,-.4080177754655682,5410.009065224322,8388,13471
zafirenia,Sunflower Earrings Flower Jewelry Yellow Earrings Sunflower Jewelry Dangle Earrings,10505,-.171084009589789,20.799999,-.0982236342347556,5,4.8397,1838,-.1870940922254101,0,1,0,2009,396,1.496584440392519,2,-.4080177754655682,5410.009065224322,8388,13471
ymcjewelrycom,925 Sterling Silver Endless Hoop Earrings 12mm 18mm 21mm 25mm 33mm 38mm 45mm 55mm 63mm 70mm 76mm 83mm 89mm 95mm 102mm,8573,-.2383333709253603,4.9499998,-.1846405140482159,4.5,4.6062,1230,-.3125234071036818,0,0,0,2014,27,-.6843796100425014,2,-.4080177754655682,5410.009065224322,8388,13471
ymcjewelrycom,925 Sterling Silver 6mm Round / Ball Natural Gemstones Leverback Earrings,8579,-.2381245219771132,15.95,-.1246666520756366,4.5,4.6062,1230,-.3125234071036818,0,0,0,2014,1,-.8380518737587901,2,-.4080177754655682,5410.009065224322,8388,13471
xueyaojewelry,jade earring - 5mm green jade stud earrings,8633,-.2362448814428892,5.9899998,-.1789702582151558,5,4.8785,2044,-.1445966598817851,0,1,0,2011,247,.615924159864557,4,-.0490808771134007,5410.009065224322,8388,13471
westernmountain,Adorable Kitten Earrings With Natural Tiger Eye In Sterling Silver,12068,-.1166788585714152,27,-.0644201805996267,5,4.9317,4584,.3794008068794157,1,0,0,2007,73,-.4124979126982982,1.5,-.4977520000536101,5410.009065224322,8388,13471
weddingpearl,"red coral earrings, coral stud earrings, 6mm real coral earings stud, girl friend gift, stone earrings, round bead earing",12862,-.0890411810867135,5,-.1843679045447854,5,4.9311,2287,-.0944661935735285,0,1,0,2012,134,-.0519591401331593,4,-.0490808771134007,5410.009065224322,8388,13471
weddingpearl,"Tiny black pearl earrings,Freshwater Pearl Earring,3.5-4mm small pearl earrings,little girl earrings,tiny pearl earrings,children earrings",12863,-.0890063729286723,4,-.1898200738150199,5,4.931,2287,-.0944661935735285,0,1,0,2012,55,-.5188864029634211,4,-.0490808771134007,5410.009065224322,8388,13471
viancamercedes,"Sterling Silver Bar Earrings, Gold Line Earrings, Geometric Earrings, Bridesmaids Gift, Minimalist Earrings, Line Post Earrings, Gold Studs",8676,-.2347481306471182,12,-.146202719653144,4.5,4.6981,1660,-.2238151745417462,0,0,0,2011,117,-.1524371587168866,1.5,-.4977520000536101,5410.009065224322,8388,13471
triballook,"Amethyst stones, Ear plugs, Ears gauges, Stones plugs, Stone plugs, Stones gauge, Ear Gauge",10078,-.1859470930733754,25.110001,-.0747247771926299,5,4.8243,1380,-.2815786748146345,0,1,0,2010,271,.7577754802180543,4,-.0490808771134007,5410.009065224322,8388,13471
