company,product,sales2,z_sales2,currentprice,z_currentprice,numberofstars2,averagerating2,numberofreviews2,z_numberofreviews2,freeshipping2,foreign,bestseller2,etsysince2,dayssincelastreview,z_dayssincelastreview,daysuntilship,z_daysuntilship,betabestseller2
2amGifts,Wooden Name Puzzle Unfinished - DIY Name Puzzle - Name Puzzle Gift - Custom Wood Name Puzzle,7,-.4801300115980837,15,-.4590694292491648,4,4,1,-.4029919436421524,1,0,0,2020,45,-.3557577073369634,2,-.632312377041769,8414.671245204545
417DesignsAndThreads,Wooden Name Puzzle / Toddler Toy / 1st Birthday Gift / Personalized Montessori Toy / Motor Skills / Busy Board / Children Puzzle,2597,-.3602456638357531,20.99,-.2020396816551371,5,4.8871,472,-.2242445263232216,1,0,0,2014,14,-.5416298848282503,10.5,.3277608471863781,8414.671245204545
ABCgames,Wood personalised name puzzle/Figure toy puzzle  for toddlers/ 1st Birthday gift present/,86,-.4764733075543678,44.990002,.8277958222200953,5,5,7,-.4007149064788539,0,1,0,2017,247,.8554093847030344,5.5,-.2369881082419437,8414.671245204545
ABCgames,Wood personalised name puzzle/Figure toy puzzle  for toddlers/ 1st Birthday gift present/,85,-.4765195949473262,44.990002,.8277958222200953,5,5,7,-.4007149064788539,0,1,0,2017,247,.8554093847030344,5.5,-.2369881082419437,8414.671245204545
ABCgames,Wooden puzzle with numbers and letters  / Wood  name puzzle toddlers / 1st Birthday busy board boys  board girl Kids toddlers puzzle numbers,86,-.4764733075543678,51,1.085683703797735,5,5,7,-.4007149064788539,0,1,0,2017,247,.8554093847030344,3.5,-.4628876904132724,8414.671245204545
ABOONstore,1st Birthday Gift Name Puzzle Personalized Personalized Name Wood Puzzle Handmade Toy Boy Newborn Girl Baby Gift Custom Name Baby Busy Board,2691,-.3558946488976608,7.9200001,-.7628708754746297,,,0,-.4033714498360355,0,1,0,2018,190,.5136444131867974,2,-.632312377041769,8414.671245204545
ABOONstore,1st Birthday Gift Name Puzzle Personalized Personalized Name Wood Puzzle Handmade Toy Boy Newborn Girl Baby Gift Custom Name Baby Busy Board,2691,-.3558946488976608,7.9200001,-.7628708754746297,5,4.9378,247,-.3096334199469146,0,1,0,2018,26,-.4696793645090424,2,-.632312377041769,8414.671245204545
ABOONstore,1st Birthday Gift Name Puzzle Personalized Personalized Name Wood Puzzle Handmade Toy Boy Newborn Girl Baby Gift Custom Name Baby Busy Board,2691,-.3558946488976608,7.9200001,-.7628708754746297,,,0,-.4033714498360355,0,1,1,2018,7,-.5836010216811214,2,-.632312377041769,8414.671245204545
ABOONstore,1st Birthday Gift Name Puzzle Personalized Personalized Name Wood Puzzle Handmade Toy Boy Newborn Girl Baby Gift Custom Name Baby Busy Board,2691,-.3558946488976608,7.9200001,-.7628708754746297,5,4.9378,247,-.3096334199469146,0,1,0,2018,204,.5975866868925398,2,-.632312377041769,8414.671245204545
ABOONstore,1st Birthday Gift Name Puzzle Personalized Personalized Name Wood Puzzle Handmade Toy Boy Newborn Girl Baby Gift Custom Name Baby Busy Board,2691,-.3558946488976608,7.9200001,-.7628708754746297,5,4.9378,247,-.3096334199469146,0,1,0,2018,159,.3277722356955106,2,-.632312377041769,8414.671245204545
ABOONstore,1st Birthday Gift Name Puzzle Personalized Personalized Name Wood Puzzle Handmade Toy Boy Newborn Girl Baby Gift Custom Name Baby Busy Board,2691,-.3558946488976608,7.9200001,-.7628708754746297,5,4.9378,247,-.3096334199469146,0,1,1,2018,7,-.5836010216811214,2,-.632312377041769,8414.671245204545
ABOONstore,1st Birthday Gift Name Puzzle Personalized Personalized Name Wood Puzzle Handmade Toy Boy Newborn Girl Baby Gift Custom Name Baby Busy Board,2691,-.3558946488976608,7.9200001,-.7628708754746297,5,4.938,248,-.3092539137530316,0,1,0,2018,24,-.481671117895577,2,-.632312377041769,8414.671245204545
ABOONstore,1st Birthday Gift Name Puzzle Personalized Personalized Name Wood Puzzle Handmade Toy Boy Newborn Girl Baby Gift Custom Name Baby Busy Board,2691,-.3558946488976608,7.9200001,-.7628708754746297,5,4.9378,247,-.3096334199469146,0,1,0,2018,7,-.5836010216811214,2,-.632312377041769,8414.671245204545
ABOONstore,1st Birthday Gift Name Puzzle Personalized Personalized Name Wood Puzzle Handmade Toy Boy Newborn Girl Baby Gift Custom Name Baby Busy Board,2691,-.3558946488976608,7.9200001,-.7628708754746297,5,4.938,248,-.3092539137530316,0,1,0,2018,7,-.5836010216811214,2,-.632312377041769,8414.671245204545
ABOONstore,1st Birthday Gift Name Puzzle Personalized Personalized Name Wood Puzzle Handmade Toy Boy Newborn Girl Baby Gift Custom Name Baby Busy Board,2691,-.3558946488976608,7.9200001,-.7628708754746297,,,0,-.4033714498360355,0,1,0,2018,7,-.5836010216811214,2,-.632312377041769,8414.671245204545
ABOONstore,1st Birthday Gift Name Puzzle Personalized Personalized Name Wood Puzzle Handmade Toy Boy Newborn Girl Baby Gift Custom Name Baby Busy Board,2692,-.3558483615047023,7.9200001,-.7628708754746297,5,4.938,248,-.3092539137530316,0,1,0,2018,7,-.5836010216811214,2,-.632312377041769,8414.671245204545
